n_pares_minmax,n_pares_tau_minmax,persistencia_total_minmax,vida_maxima_minmax,entropia_minmax,n_pares_zscore,n_pares_tau_zscore,persistencia_total_zscore,vida_maxima_zscore,entropia_zscore,n_pares_robust,n_pares_tau_robust,persistencia_total_robust,vida_maxima_robust,entropia_robust,sample
6,3,2.8148819527767777,1.5935570900834675,1.0434258026046912,6,5,9.990394569328846,4.752411338667803,1.4108379900368369,6,5,4.751220321703583,2.8437950051040923,1.191331672078798,1568
5,4,2.701810145596524,1.5753605514204756,1.0097106442008694,6,5,7.419482767732327,3.143780619858812,1.3947113006093184,5,3,4.138940041296912,2.0330184091376884,1.0591717079572758,220
6,5,5.104319701209315,1.9266559042478293,1.4479183006546827,6,4,18.247617938691427,7.106147992191627,1.2584150186652603,5,4,13.772582885214534,5.464227328802422,1.2065516372923277,1010
5,3,2.503104343255494,1.4640768553620267,0.9870768591942705,4,2,6.63976884694985,4.563818025011781,0.6502398149652933,5,2,5.179057507382446,3.0992774907555507,0.68154419400033,30
4,3,3.0596545198500715,1.7339787437485819,0.9618615144146926,5,4,5.5464320390509165,2.1255650168399782,1.273264845222974,4,2,4.468386699030791,2.3738041329302275,0.7358584812173514,942
6,5,4.2616695577628345,2.106948579459109,1.227171239569892,5,4,13.09523104028359,7.145605052582746,1.1240023640407983,5,4,11.88635042403709,5.784573704304126,1.1785656707628966,481
4,2,2.312579057608092,1.452945191016536,0.7933772063377782,5,4,8.786832927661376,2.619047183624069,1.366757262887775,5,4,8.054149135224657,3.394940650398911,1.2918976428438698,135
5,4,4.276609372885073,1.69064521890017,1.330692404280291,4,3,10.097109172410413,5.501663469591419,1.0045726390798322,4,3,9.986578394976735,8.52843637174826,0.5130253470006517,65
4,3,3.0452867841312,1.6520713082085106,1.0058514640835108,6,5,12.21164328633632,3.551557292188938,1.5361382089712659,6,5,6.985106866937725,2.100178484494404,1.5397483792235491,99
6,4,5.253103777852692,2.039125905608813,1.3257286753124027,5,4,13.953221814452876,5.344743114172539,1.3084397158843875,5,4,10.88707923336442,5.200145163281661,1.1345776446686362,1547
6,5,5.669116872508284,1.9015715478036805,1.524914414905263,6,5,18.99101164438602,7.201568024400057,1.46972272096191,6,5,14.124647915134837,6.195524389421774,1.3486498191820044,1311
5,4,3.523024232040085,1.7648291358715058,1.1607029201218984,5,4,7.008074873008396,4.14344193241797,0.957736913159184,4,3,3.5390749569475815,1.9748808582049433,0.9596423654395907,29
5,4,4.111754821524514,2.169908122761763,1.1338588219987515,5,4,11.803399296258986,4.679946972052348,1.2756636163492512,5,4,10.03912845902232,3.3166266472329737,1.3401271837623479,745
5,3,5.49557599126398,2.4639506162153895,1.0652641344935208,4,3,15.082303773371802,5.720292366344757,1.0901838437454665,4,3,12.760709453023043,10.934604308545548,0.4706129376987159,538
5,4,3.596221425531291,1.724176147606844,1.230936688293906,5,4,7.2685161311786,3.167711429158583,1.278620747284318,5,4,6.248764748099881,3.0716379847071957,1.1170671742451317,168
4,3,2.5643057567930168,1.5899385078727808,0.9101891575278891,4,3,11.837045853890368,6.468496413796877,1.0025975618697465,3,2,13.303430430318468,13.0673873136242,0.08912035176784634,274
4,3,4.117470934717298,2.2562025871377482,0.8656133098699723,4,3,14.462429693633986,6.196640652302656,1.0724725104719814,4,3,14.260535283380339,7.531173458110898,1.014937707195215,271
6,4,2.5823170752529068,1.5308509401834487,1.0402805232741381,5,4,6.14298055778351,2.656459344387225,1.1586037855161617,4,3,3.2368535805460708,1.8724510032903567,0.9714110548363184,1502
5,4,3.331005684048313,1.5012028676528475,1.2707531384239497,5,4,8.280009377350629,2.796313175571391,1.3498592105644422,5,4,5.953941955346553,1.933208873189857,1.2486185425751422,1355
4,3,3.2097292931446484,1.8516957810140815,0.894280209566173,5,4,5.421968263375865,2.6568594405937676,1.2008492921109644,5,4,2.595740583725679,1.1661361368210195,1.2840338380519758,1425
5,3,3.0889404719580327,1.5959685655237557,1.0285304492988343,5,4,11.659694236969809,5.2401234758260395,1.1204258980812947,4,3,9.080295708716342,4.631720013565061,1.0124543776094375,486
5,4,3.7248541844110514,2.020994770849145,1.1197893743348382,4,3,7.585647116498167,3.945410169181724,1.020099885814002,5,4,6.537852129815764,3.011636512815444,1.2639334368821844,251
