tipo_ruido,magnitud,dB,dW,norma_inf,n_pares,n_pares_tau,persistencia_total,vida_maxima,entropia,sample
gaussiano,0.2,0.7215215660473178,2.0310900247056436,0.9719130582234525,5,4,11.503279889520499,5.290400391259888,1.2570844826741965,706
gaussiano,0.5,2.327537686599123,6.3212303971423704,2.5406851877518157,5,4,16.938115720751817,7.575690846036881,1.1033894343196866,706
acotado,0.01,0.014639230153330463,0.045705541066526356,0.029882955470454275,5,4,9.780398327404534,4.1712649422821695,1.3013949841052395,706
acotado,0.05,0.16180762507989455,0.36290994772923524,0.16392639340952614,5,4,9.580084956106003,4.171513730083773,1.2966847426013213,706
acotado,0.1,0.3002698064792655,0.6151265705480174,0.4883648091139605,5,4,9.377748955825544,4.25954311813227,1.259265895964131,706
acotado,0.2,0.4373733835036535,1.2969148877444456,0.6575635748427134,5,4,9.350161926607724,3.9412257807242677,1.3140926355293745,706
acotado,0.5,0.9358426473596264,3.1735763057641813,1.781129228505955,5,4,11.338396813467767,3.8793770474915847,1.3295534018750177,706
gaussiano,0.01,0.03589851302306868,0.1061642292693753,0.037798227667469764,5,4,5.429926741266802,2.1657879834030185,1.2826256709451336,613
gaussiano,0.05,0.16483369605385345,0.2905518290704721,0.19697665144378318,5,4,5.667447682489568,2.247192204105732,1.2669130896615048,613
gaussiano,0.1,0.8288791058971594,1.0430379777315268,0.5112316158282173,5,4,6.229100148402338,2.4763623300976505,1.2710146756419411,613
gaussiano,0.2,1.0165379136655353,1.9907691537658092,1.243916157506192,5,4,7.429061087007044,2.535604512628492,1.3503822382428985,613
gaussiano,0.5,0.6473524327663207,1.613637961532218,3.266780326462424,5,3,5.385670917212947,2.1069890196718557,1.102729885299218,613
acotado,0.01,0.01863622361922107,0.03481805221511841,0.019078147402027068,5,4,5.507872209009763,2.183643175461793,1.2840194186825442,613
acotado,0.05,0.149304578820878,0.38893471594274565,0.19293117302987817,5,4,5.5795457693534605,2.109290222100719,1.2913470940478502,613
acotado,0.1,0.23071036955793534,0.7445249579545021,0.2604994103375337,5,4,5.152121787612664,2.3921589893477275,1.2089978867724216,613
acotado,0.2,0.24683762483086685,0.6794246522196541,0.7482007769129938,5,3,4.759098329976677,2.3127035306906345,1.1043949195751976,613
acotado,0.5,0.6327572568113595,2.0907990459573322,0.6966738508465794,5,4,4.24867803273405,2.326741531822714,1.1788823108958062,613
gaussiano,0.01,0.04535132018832477,0.13724555578315012,0.05983814412398081,5,4,11.92071627885605,4.551323014642256,1.2517231400218773,1587
gaussiano,0.05,0.15177514928513158,0.42521186992594956,0.2585396085464927,5,4,11.99852979353603,4.395008329144069,1.2775611200247643,1587
gaussiano,0.1,0.24898966239420506,0.8063553978036725,0.3781426182570037,5,4,11.299045318075887,4.286781475761652,1.2598359328029605,1587
gaussiano,0.2,0.7419774841298019,2.2834017251875665,0.9001845539437028,5,4,10.834673119045494,3.92178803614671,1.2817857573916167,1587
gaussiano,0.5,1.0223911478297252,3.302403995706601,3.226686116941927,5,4,9.117826505125157,3.599610753660477,1.1911351651297726,1587
acotado,0.01,0.019134505676877023,0.055963286833061066,0.03539547399905585,5,4,11.782228789748988,4.480435309691267,1.2535813460155572,1587
acotado,0.05,0.13817663728004348,0.3172448255630317,0.14952518924089864,5,4,11.769309467326691,4.512760938218769,1.2539975480122738,1587
acotado,0.1,0.23600895430187796,0.6637758888524864,0.2951683890538823,5,4,11.177480353992179,4.247834955074483,1.261202074583805,1587
acotado,0.2,0.39154952885035055,1.1982949434113936,0.520681481894331,5,4,11.462308395595464,4.735602100668826,1.2282364908666663,1587
acotado,0.5,0.9226055670352928,3.1172762195069286,1.3785854706008374,5,3,10.9129150806132,5.155461522006172,0.8893950802427233,1587
gaussiano,0.01,0.0467371891481958,0.12936707174601159,0.051984063841305606,5,4,13.3985335209567,6.606870158191931,1.097972605751227,513
gaussiano,0.05,0.22544938554833394,0.5725721779273583,0.22655310159618303,5,4,13.186189813441704,6.639738074497877,1.0871165416559905,513
gaussiano,0.1,0.42779768978448907,0.9252037350651741,0.48693883453356257,5,4,14.25629144633659,6.530994091113548,1.127076699871845,513
gaussiano,0.2,0.8440600388536645,2.6827548186761456,0.8617914774607025,5,4,15.556855203800716,6.382188906151901,1.2028735733666502,513
gaussiano,0.5,1.2653250842044947,3.5315507461307667,1.5230659845707413,5,4,15.872421521625718,6.963553446206495,1.218378801073774,513
acotado,0.01,0.021060055911593878,0.0587722785223288,0.022364607923535118,5,4,13.313048697784936,6.573987993232395,1.0912129534556578,513
acotado,0.05,0.12382372375925632,0.3031335470351253,0.13814683617224577,5,4,13.289776090000503,6.609531333599346,1.1107310952623803,513
acotado,0.1,0.2955092843555638,0.610599608007451,0.3591303595769957,5,4,13.639259997286361,6.536051363123898,1.0955802497502265,513
acotado,0.2,0.20133767997565633,0.6059599948651269,0.7512595096865311,4,3,12.827944655749166,6.708845377281231,0.9656394866262283,513
acotado,0.5,1.2118857370782758,2.0473922624053813,1.9517626616498487,6,4,13.029595686790419,6.6128790457922335,1.105491796067027,513
